"cyl","disp","hp","drat","wt","qsec","vs","am","gear","carb"
8,440,230,3.23,5.345,17.42,0,0,3,4
4,78.7,66,4.08,2.2,19.47,1,1,4,1
4,75.7,52,4.93,1.615,18.52,1,1,4,2
4,71.1,65,4.22,1.835,19.9,1,1,4,1
4,120.1,97,3.7,2.465,20.01,1,0,3,1
8,318,150,2.76,3.52,16.87,0,0,3,2
8,360,175,3.15,3.44,17.02,0,0,3,2
6,225,105,2.76,3.46,20.22,1,0,3,1
8,360,245,3.21,3.57,15.84,0,0,3,4
4,146.7,62,3.69,3.19,20,1,0,4,2
4,140.8,95,3.92,3.15,22.9,1,0,4,2
6,167.6,123,3.92,3.44,18.3,1,0,4,4
6,167.6,123,3.92,3.44,18.9,1,0,4,4
8,275.8,180,3.07,4.07,17.4,0,0,3,3
8,275.8,180,3.07,3.73,17.6,0,0,3,3
8,275.8,180,3.07,3.78,18,0,0,3,3
8,472,205,2.93,5.25,17.98,0,0,3,4
8,460,215,3,5.424,17.82,0,0,3,4
8,440,230,3.23,5.345,17.42,0,0,3,4
4,78.7,66,4.08,2.2,19.47,1,1,4,1
4,75.7,52,4.93,1.615,18.52,1,1,4,2
4,71.1,65,4.22,1.835,19.9,1,1,4,1
4,120.1,97,3.7,2.465,20.01,1,0,3,1
8,318,150,2.76,3.52,16.87,0,0,3,2
8,360,175,3.15,3.44,17.02,0,0,3,2
6,225,105,2.76,3.46,20.22,1,0,3,1
8,360,245,3.21,3.57,15.84,0,0,3,4
4,146.7,62,3.69,3.19,20,1,0,4,2
4,140.8,95,3.92,3.15,22.9,1,0,4,2
6,167.6,123,3.92,3.44,18.3,1,0,4,4
6,167.6,123,3.92,3.44,18.9,1,0,4,4
8,275.8,180,3.07,4.07,17.4,0,0,3,3
8,275.8,180,3.07,3.73,17.6,0,0,3,3
8,275.8,180,3.07,3.78,18,0,0,3,3
8,472,205,2.93,5.25,17.98,0,0,3,4
8,460,215,3,5.424,17.82,0,0,3,4
8,440,230,3.23,5.345,17.42,0,0,3,4
4,78.7,66,4.08,2.2,19.47,1,1,4,1
4,75.7,52,4.93,1.615,18.52,1,1,4,2
4,71.1,65,4.22,1.835,19.9,1,1,4,1
4,120.1,97,3.7,2.465,20.01,1,0,3,1
8,318,150,2.76,3.52,16.87,0,0,3,2
