ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms
8010,F,Ship,6,4,268,4,medium,F,3,1586
8011,D,Ship,5,3,238,5,high,M,7,1848
8012,F,Ship,5,3,254,6,low,M,7,1064
8013,A,Ship,5,3,252,5,low,M,3,1474
8014,B,Ship,6,4,254,4,low,M,9,1594
8015,C,Ship,4,1,263,5,low,M,8,1426
8016,F,Ship,5,4,256,5,low,M,6,1551
8017,D,Ship,6,5,264,4,medium,M,8,1755
8018,F,Ship,4,5,237,5,low,M,2,1357
8019,A,Ship,4,1,226,5,medium,M,6,1510
8020,B,Ship,7,5,289,4,low,M,3,1656
8021,C,Ship,7,4,281,4,low,M,9,1970
8022,F,Ship,5,1,258,5,low,F,4,1032
8023,D,Ship,6,2,263,4,low,F,8,1635
8024,F,Ship,5,3,245,5,low,F,2,1937
8025,A,Ship,7,3,296,4,medium,M,8,1826
8026,B,Ship,7,3,286,4,low,F,5,1866
8027,C,Ship,6,3,252,2,low,M,1,1756
8028,F,Ship,6,5,301,4,low,F,7,1393
8029,D,Ship,7,1,290,4,low,M,4,1488
8030,F,Ship,7,1,247,4,medium,M,6,1297
8031,A,Ship,5,5,238,6,low,F,3,1965
8032,B,Ship,5,2,263,5,medium,F,10,1059
8033,C,Ship,5,2,263,4,low,M,3,1740
8034,F,Ship,5,2,248,5,low,F,3,1046
8035,D,Ship,7,2,289,5,low,M,1,1178
8036,F,Ship,4,4,256,5,high,M,1,1927
8037,A,Ship,6,2,287,4,low,F,7,1837
8038,B,Ship,4,2,250,5,medium,M,10,1026
8039,C,Ship,7,3,301,4,medium,M,1,1966
8040,F,Ship,4,1,245,5,low,F,3,1537
8041,D,Ship,4,5,226,5,medium,M,8,1133
8042,F,Ship,6,2,272,5,low,M,8,1045
8043,A,Ship,3,3,307,5,low,F,3,1578
8044,B,Ship,6,1,138,3,low,M,6,1604
8045,C,Ship,5,1,248,5,low,F,8,1810
8046,F,Ship,5,1,307,4,low,M,8,1511
8047,D,Ship,6,2,256,4,low,F,6,1507
8048,F,Ship,6,5,301,5,low,M,8,1443
8049,A,Ship,7,3,245,4,medium,F,10,1610
8050,B,Ship,2,2,168,2,medium,F,2,1227
