시도교육청,지역교육청,지역,정보공시 학교코드,학교명,학교급코드,설립구분,제외여부,제외사유,1학년 전입학생수,1학년 전출학생수,1학년 전체학생수,2학년 전입학생수,2학년 전출학생수,2학년 전체학생수,3학년 전입학생수,3학년 전출학생수,3학년 전체학생수,4학년 전입학생수,4학년 전출학생수,4학년 전체학생수,5학년 전입학생수,5학년 전출학생수,5학년 전체학생수,6학년 전입학생수,6학년 전출학생수,6학년 전체 학생수,전입학생수(계),전출학생수(계),전체학생수(계)
서울특별시교육청,교육부,서울특별시 서초구,S000003511,서울교육대학교부설초등학교,2,국립,N,,1,0,97,0,1,100,0,2,99,1,0,103,0,1,112,0,1,105,2,5,616
서울특별시교육청,교육부,서울특별시 종로구,S000003563,서울대학교사범대학부설초등학교,2,국립,N,,1,1,102,4,4,101,8,6,105,4,2,105,3,5,109,1,0,110,21,18,632
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000738,서울개일초등학교,2,공립,N,,18,1,130,43,11,129,52,10,149,32,4,123,46,4,136,41,6,170,232,36,837
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000741,서울구룡초등학교,2,공립,N,,5,1,78,6,3,86,11,3,83,11,2,74,9,3,85,7,2,86,49,14,492
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000742,서울논현초등학교,2,공립,N,,1,3,54,1,5,53,3,8,61,1,5,54,4,4,65,4,1,52,14,26,339
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000743,서울대곡초등학교,2,공립,N,,16,3,143,29,1,154,36,5,198,53,11,197,47,5,248,40,3,286,221,28,1226
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000744,서울대도초등학교,2,공립,N,,13,0,333,39,0,301,50,0,324,37,0,339,42,0,428,49,0,432,230,0,2157
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000745,서울대모초등학교,2,공립,N,,9,3,144,20,2,167,8,6,179,17,8,183,16,4,218,13,5,193,83,28,1084
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000746,서울대왕초등학교,2,공립,N,,0,5,118,0,5,148,0,11,185,6,7,158,0,6,137,3,0,158,9,34,904
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000747,서울대진초등학교,2,공립,N,,0,1,50,3,2,62,2,4,37,2,2,52,3,3,53,3,2,62,13,14,316
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000748,서울대청초등학교,2,공립,N,,0,2,26,2,1,24,0,0,21,1,2,21,0,4,28,0,1,30,3,10,150
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000749,서울대치초등학교,2,공립,N,,15,2,202,45,9,231,48,7,235,47,4,258,48,7,307,70,7,334,273,36,1567
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000750,서울대현초등학교,2,공립,N,,3,4,68,16,7,76,14,9,85,28,7,129,40,7,141,60,2,176,161,36,675
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000751,서울도곡초등학교,2,공립,N,,8,6,122,18,4,116,27,14,142,30,9,155,28,5,185,51,4,162,162,42,882
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000752,서울도성초등학교,2,공립,N,,11,2,256,30,5,263,46,5,307,37,10,248,35,7,311,36,4,355,195,33,1740
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000753,서울반원초등학교,2,공립,N,,6,4,209,11,9,204,8,11,227,13,17,221,15,5,255,8,7,257,61,53,1373
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000754,서울반포초등학교,2,공립,N,,2,5,104,4,16,130,11,30,161,9,13,127,13,19,165,15,8,161,54,91,848
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000755,서울방배초등학교,2,공립,N,,2,4,144,9,7,133,10,10,146,6,7,166,11,12,170,9,8,193,47,48,952
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000756,서울방일초등학교,2,공립,N,,2,3,146,10,5,142,10,5,159,3,10,151,10,6,140,4,4,145,39,33,883
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000757,서울방현초등학교,2,공립,N,,1,2,57,1,5,54,4,0,52,4,2,58,9,4,63,5,1,48,24,14,332
