model,year,transmission,mileage,fuelType,tax,mpg,engineSize
 1 Series,2018,Semi-Auto,14200,Petrol,145,36.7,1.5
 3 Series,2019,Semi-Auto,2150,Petrol,145,42.2,2
 4 Series,2019,Semi-Auto,6650,Petrol,145,48.7,2
 1 Series,2019,Semi-Auto,2604,Diesel,145,70.6,2
 X3,2016,Semi-Auto,35700,Diesel,145,54.3,2
 M2,2019,Semi-Auto,3500,Petrol,145,29.1,3
 1 Series,2019,Manual,1581,Diesel,145,70.6,1.5
 X7,2019,Semi-Auto,17561,Petrol,145,24.8,3
 Z4,2019,Automatic,5500,Petrol,145,38.7,2
 Z4,2019,Semi-Auto,6000,Petrol,145,38.7,2
 X2,2019,Semi-Auto,3795,Diesel,145,58.9,2
 1 Series,2017,Automatic,24229,Diesel,125,60.1,2
 X1,2017,Automatic,6391,Diesel,145,65.7,2
 X2,2018,Semi-Auto,12271,Diesel,145,61.4,2
 3 Series,2020,Semi-Auto,100,Diesel,145,50.4,2
 X4,2019,Semi-Auto,7310,Diesel,145,40.9,3
 3 Series,2019,Semi-Auto,6000,Diesel,145,49.6,2
 4 Series,2016,Semi-Auto,16622,Petrol,160,44.8,2
 1 Series,2016,Semi-Auto,31661,Petrol,200,39.8,3
 X2,2019,Semi-Auto,13440,Diesel,145,58.9,2
 5 Series,2019,Automatic,6499,Hybrid,135,156.9,2
 4 Series,2019,Semi-Auto,9212,Petrol,145,45.6,2
 X5,2019,Automatic,12369,Diesel,145,37.7,3
 X5,2019,Automatic,9740,Diesel,145,37.7,3
 X5,2019,Semi-Auto,9341,Diesel,145,37.7,3
 X5,2019,Automatic,12000,Diesel,145,37.7,3
 5 Series,2019,Automatic,5800,Hybrid,145,49.6,2
 1 Series,2019,Manual,3602,Petrol,145,41.5,1.5
 1 Series,2019,Automatic,7381,Petrol,145,34.5,2
 X5,2019,Semi-Auto,5256,Petrol,145,27.2,3
 Z4,2020,Semi-Auto,102,Petrol,145,38.7,2
 X5,2019,Semi-Auto,6413,Diesel,145,37.7,3
 X3,2019,Semi-Auto,1604,Petrol,145,24.8,3
 3 Series,2020,Semi-Auto,102,Petrol,145,40.4,2
 X4,2019,Automatic,7555,Diesel,145,40.9,3
 X3,2019,Automatic,3755,Diesel,145,54.3,2
 2 Series,2019,Automatic,1893,Petrol,145,47.9,2
 1 Series,2019,Manual,3559,Petrol,145,44.1,1.5
 1 Series,2019,Automatic,9399,Diesel,145,70.6,2
 3 Series,2017,Automatic,18374,Diesel,145,64.2,2
 2 Series,2020,Semi-Auto,3000,Petrol,145,47.9,2
 7 Series,2020,Semi-Auto,10300,Diesel,145,41.5,3
 X6,2020,Semi-Auto,3000,Diesel,145,34.9,3
 1 Series,2017,Semi-Auto,28120,Diesel,125,60.1,2
 X5,2019,Automatic,7580,Diesel,145,37.7,3
 2 Series,2019,Manual,6556,Petrol,145,40.9,1.5
 3 Series,2019,Automatic,7307,Diesel,145,49.6,2
 Z4,2019,Semi-Auto,5465,Petrol,145,38.7,2
 4 Series,2019,Semi-Auto,6455,Petrol,145,39.2,3
 1 Series,2019,Automatic,7287,Petrol,145,42.8,1.5
 5 Series,2019,Automatic,11537,Diesel,145,62.8,2
 4 Series,2019,Semi-Auto,7208,Diesel,145,65.7,2
 5 Series,2020,Semi-Auto,15,Petrol,145,48.7,2
 5 Series,2020,Semi-Auto,100,Diesel,145,60.1,2
 3 Series,2018,Semi-Auto,13909,Diesel,145,60.1,2
 X3,2018,Semi-Auto,10300,Diesel,145,48.7,3
