school_name,student_1,student_2,student_3,student_4,student_5,student_6,teacher
서울교육대학교부설초등학교,95,95,95,104,108,110,31
서울대학교사범대학부설초등학교,97,100,102,102,102,104,36
서울개일초등학교,183,163,176,186,177,193,42
서울구룡초등학교,109,115,115,131,133,132,38
서울논현초등학교,34,47,34,46,46,46,18
서울대곡초등학교,148,133,193,226,236,270,59
서울대도초등학교,223,277,310,419,393,403,80
서울대모초등학교,123,135,143,150,186,183,43
서울대왕초등학교,91,86,103,94,133,160,42
서울대진초등학교,50,44,47,48,48,33,20
서울대청초등학교,16,21,16,20,21,15,15
서울대치초등학교,126,167,251,275,327,347,62
서울대현초등학교,105,103,111,128,171,188,38
서울도곡초등학교,107,125,138,158,185,215,45
서울도성초등학교,210,238,289,328,358,412,79
서울반원초등학교,211,196,211,229,240,262,60
서울반포초등학교,0,15,18,19,36,127,19
서울방배초등학교,123,123,115,167,138,185,42
서울방일초등학교,186,163,148,156,153,168,45
서울방현초등학교,34,24,35,46,47,53,16
서울봉은초등학교,83,81,81,79,82,83,27
서울삼릉초등학교,71,85,85,105,98,85,27
서울서래초등학교,202,212,212,262,245,225,54
서울서원초등학교,267,253,267,277,239,209,69
서울서이초등학교,270,242,208,258,221,231,53
서울서일초등학교,86,88,80,94,89,105,28
서울서초초등학교,169,162,172,171,204,174,47
서울수서초등학교,34,19,26,17,28,20,18
서울신구초등학교,91,70,78,85,64,90,28
서울신동초등학교,160,186,190,230,242,271,56
서울신중초등학교,127,137,136,167,138,174,43
서울압구정초등학교,145,137,125,181,172,155,44
서울양재초등학교,69,101,103,108,97,96,32
서울양전초등학교,76,86,97,105,103,89,31
서울언남초등학교,165,226,213,192,165,169,60
서울언북초등학교,257,285,301,355,306,336,75
서울언주초등학교,212,232,277,251,299,293,60
서울역삼초등학교,58,58,57,58,61,61,22
서울영희초등학교,49,38,51,46,64,49,20
서울왕북초등학교,150,133,148,167,134,170,42
서울우암초등학교,47,37,44,47,44,60,19
서울원명초등학교,175,201,212,206,186,251,56
서울원촌초등학교,205,175,169,203,188,169,54
서울이수초등학교,97,84,94,79,112,97,30
서울일원초등학교,191,161,193,197,196,200,51
서울잠원초등학교,282,255,259,298,277,288,74
서울청담초등학교,92,85,77,68,74,99,26
서울포이초등학교,77,78,82,76,81,81,31
서울학동초등학교,83,85,79,84,77,85,24
서울가동초등학교,120,132,123,159,156,163,49
서울가락초등학교,204,200,208,223,172,153,64
서울가원초등학교,94,116,121,99,111,98,34
서울가주초등학교,147,127,113,148,135,160,47
서울강덕초등학교,188,205,211,199,161,180,56
서울강동초등학교,95,71,80,94,100,91,28
서울강일초등학교,111,94,113,137,126,148,41
서울거여초등학교,115,92,110,111,115,98,37
서울거원초등학교,119,94,98,111,126,122,44
서울고덕초등학교,83,77,56,66,51,57,26
서울고명초등학교,136,151,126,124,122,107,40
서울고일초등학교,331,351,281,275,247,223,78
서울길동초등학교,110,146,109,151,136,128,44
서울남천초등학교,46,55,57,65,67,72,24
서울대명초등학교,117,119,126,147,143,175,45
서울마천초등학교,135,121,125,152,180,160,50
