년월,강력범,절도범,폭력범,지능범,풍속범,기타형사범
2007-01,291,2608,6494,5283,242,1126
2007-02,252,2403,4613,4270,158,880
2007-03,292,2273,6242,5110,196,1119
2007-04,306,2794,6813,5492,250,1311
2007-05,298,3469,7221,5432,192,1412
2007-06,345,3288,7126,4829,210,1448
2007-07,342,2841,7849,5022,218,1509
2007-08,315,2443,7223,4935,229,1451
2007-09,312,2775,6589,4090,214,1278
2007-01,370,2955,7504,5440,282,1533
2007-11,22,91,263,256,8,44
2007-12,238,2037,6083,4392,160,1163
2008-01,219,1871,5534,4623,189,1129
2008-02,220,1733,4533,4077,186,1005
2008-03,347,2373,5691,4976,193,1145
2008-04,322,2513,6080,5437,324,1322
2008-05,326,2406,6427,5456,290,1302
2008-06,380,2893,6958,5306,271,1415
2008-07,348,2577,6791,5498,283,1425
2008-08,329,2317,6024,4409,173,1157
2008-09,354,2701,6980,5616,312,1421
2008-01,336,2622,6907,5965,268,1496
2008-11,282,2387,5871,5178,267,1278
2008-12,315,2507,6494,5608,224,1390
2009-01,284,1901,5081,4844,248,1061
2009-02,233,1871,5119,5005,278,1099
2009-03,349,2913,6532,6207,454,1340
2009-04,344,2664,6531,6100,633,1432
2009-05,555,3767,7049,6124,1216,1637
2009-06,431,3397,7459,6802,742,1805
2009-07,425,4122,6870,6458,691,1577
2009-08,401,3324,5544,5865,470,1312
2009-09,394,4399,6117,6347,465,1450
2009-01,407,3457,5626,6082,353,1495
2009-11,360,2974,5613,6133,357,1323
2009-12,312,2386,5528,6295,296,1333
2010-01,299,1773,4783,5109,315,1073
2010-02,369,2218,4300,4871,221,1010
2010-03,513,3252,5515,6308,306,1371
2010-04,564,3719,5474,5706,237,1378
2010-05,633,4950,6017,5199,229,1333
2010-06,597,4744,6071,5717,157,1182
2010-07,602,4693,5909,5639,175,1217
2010-08,644,5014,6330,5318,175,1280
2010-09,650,4574,6160,5211,183,1283
2010-01,626,4829,6103,6040,177,1369
2010-11,542,4725,6018,5352,133,1235
2010-12,589,4891,6118,5898,149,1328
2011-01,450,3799,5270,5367,153,1177
2011-02,497,4387,4873,4464,139,1006
2011-03,694,7317,6205,6547,212,1375
2011-04,522,4038,5377,6174,233,1251
2011-05,645,4325,6156,5888,244,1303
2011-06,633,4346,6151,6358,265,1465
2011-07,724,4593,7328,6107,248,1475
2011-08,683,4669,6732,6023,180,1445
2011-09,554,4312,6044,5753,166,1578
2011-01,531,4325,6097,5917,183,1461
2011-11,506,4142,6076,6181,183,1529
2011-12,466,4041,5735,6473,171,1419
2012-01,368,3695,5226,5755,143,1226
2012-02,381,3340,4681,5834,153,1208
2012-03,395,3811,5419,5900,142,1404
2012-04,480,4597,5853,5991,144,1421
2012-05,597,5376,6424,6083,150,1634
2012-06,590,5490,6344,5860,149,1766
2012-07,662,6275,6772,6463,216,1871
2012-08,604,6273,6523,6176,165,1902
2012-09,553,5333,5984,5659,177,1791
2012-01,536,6129,6553,5999,229,1776
2012-11,465,5606,5563,6707,137,1746
2012-12,392,5404,5281,5811,137,1600
2013-01,396,4858,4990,6336,126,1631
2013-02,346,4382,4192,4900,115,1259
2013-03,444,4266,4936,5829,129,1495
2013-04,546,4915,5363,6499,125,1748
2013-05,558,5203,5834,7029,133,1662
2013-06,619,5871,5740,6133,142,1640
2013-07,649,5830,6366,7115,146,1930
2013-08,615,5650,5796,6345,120,1764
2013-09,547,5602,5603,6126,139,1693
2013-01,669,5690,6016,6762,166,2099
2013-11,415,4702,5367,6962,115,1988
2013-12,472,4616,5219,6505,106,1656
